id,name,category,subCategory,flavor,taste,wikipediaUrl
310,tea,plant,,,,"https://en.wikipedia.org/wiki/Tea"
311,"fermented tea","plant derivative",,,,"https://en.wikipedia.org/wiki/Fermented_tea"
312,tobacco,plant,,,,"https://en.wikipedia.org/wiki/Tobacco"
313,watercress,plant,,,,"https://en.wikipedia.org/wiki/Watercress"
314,creosote,"plant derivative",,,,"https://en.wikipedia.org/wiki/Creosote"
315,honey,"plant derivative",,,,"https://en.wikipedia.org/wiki/Honey"
316,macaroni,"plant derivative",,,,"https://en.wikipedia.org/wiki/Macaroni"
317,"mustard oil","plant derivative",,,,"https://en.wikipedia.org/wiki/Mustard_oil"
318,"peanut butter","plant derivative",,,,"https://en.wikipedia.org/wiki/Peanut_butter"
319,"peanut oil","plant derivative",,,,"https://en.wikipedia.org/wiki/Peanut_oil"
320,rye,cereal,,,,"https://en.wikipedia.org/wiki/Rye"
321,storax,"plant derivative",,,,"https://en.wikipedia.org/wiki/Storax_balsam"
322,vinegar,"plant derivative",,,,"https://en.wikipedia.org/wiki/Vinegar"
323,anise,spice,,,,"https://en.wikipedia.org/wiki/Anise"
324,"anise hyssop",spice,,,,"https://en.wikipedia.org/wiki/Agastache_foeniculum"
325,"star anise",spice,,,,"https://en.wikipedia.org/wiki/Illicium_verum"
326,caraway,spice,,,,"https://en.wikipedia.org/wiki/Caraway"
327,cardamom,spice,,,,"https://en.wikipedia.org/wiki/Cardamom"
328,cassia,spice,,,,"https://en.wikipedia.org/wiki/Cinnamomum_cassia"
329,celery,spice,,,,"https://en.wikipedia.org/wiki/Celery"
330,cinnamon,spice,,,,"https://en.wikipedia.org/wiki/Cinnamon"
331,clove,spice,,,,"https://en.wikipedia.org/wiki/Clove"
332,cumin,spice,,,,"https://en.wikipedia.org/wiki/Cumin"
333,ginger,spice,,,,"https://en.wikipedia.org/wiki/Ginger"
334,mace,spice,,,,"https://en.wikipedia.org/wiki/Nutmeg"
335,marjoram,spice,,,,"https://en.wikipedia.org/wiki/Marjoram"
336,nutmeg,spice,,,,"https://en.wikipedia.org/wiki/Nutmeg"
337,oregano,spice,,,,"https://en.wikipedia.org/wiki/Oregano"
338,parsley,spice,,,,"https://en.wikipedia.org/wiki/Parsley"
339,pepper,spice,,,,"https://en.wikipedia.org/wiki/Black_pepper"
340,saffron,spice,,,,"https://en.wikipedia.org/wiki/Saffron"
341,turmeric,spice,,,,"https://en.wikipedia.org/wiki/Turmeric"
342,"green beans",vegetable,,,,"https://en.wikipedia.org/wiki/Green_bean"
343,chive,vegetable,,,,"https://en.wikipedia.org/wiki/Chives"
344,endive,vegetable,,,,"https://en.wikipedia.org/wiki/Endive"
345,leek,vegetable,,,,"https://en.wikipedia.org/wiki/Leek"
346,lettuce,vegetable,,,,"https://en.wikipedia.org/wiki/Lettuce"
347,okra,vegetable,,,,"https://en.wikipedia.org/wiki/Okra"
